,names,rates,values
117,SOAP,NoResponse,23.2432432432432
118,Apache server,NoResponse,20.3703703703704
119,finalmap initialmap,NoResponse,22.2222222222222
120,Jboss add mysql,NoResponse,12.0805369127517
121,maven dependency,Unrelated,1.875
122,RSA Encryption,Unrelated,7.63546798029557
123,authentation,Unrelated,1.86915887850467
124,OS,Unrelated,2.15827338129496
125,JavaScript and jQuery ,Unrelated,3.71900826446281
126,Spring Security,Unrelated,1.13636363636364
127,SSL,Unrelated,1.01010101010101
128,jnlp,Unrelated,1.32743362831858
129,Cipher suite,Unrelated,2
130,applet application ,Unrelated,4.04328018223235
131,spring authentation,Unrelated,3.80026513477684
132,Servlets and JSP,Unrelated,1.24688279301746
133,Secure Password ,Unrelated,8.21114369501466
134,java.awt.event,Unrelated,6.12244897959184
135,signature,Unrelated,1.76211453744493
136,spring security  and database,Unrelated,0.914634146341463
137,ssl keystore,Unrelated,1.12994350282486
138,microsoft metadata,Unrelated,3.44827586206897
139,public private classes,Unrelated,2.67489711934156
140,proxy,Unrelated,0.884955752212389
141,SOAP,Unrelated,1.62162162162162
142,Apache server,Unrelated,0.925925925925926
143,finalmap initialmap,Unrelated,2.77777777777778
144,Jboss add mysql,Unrelated,0.671140939597315
